Run,Assembly,Readcount,percassemb,Catalogue,Assembly Approach,percmags
SRR1761673,10454701,12091598,86.4625254660302,7480931,Single run,61.868836525991
SRR1761673,10454701,12091598,86.4625254660302,7661303,Coassembly,63.3605500282097
SRR1761674,5164843,6381458,80.935156197847,4409791,Single run,69.1031892711666
SRR1761674,5164843,6381458,80.935156197847,4516802,Coassembly,70.7800944549036
SRR1761675,9409493,10950788,85.9252594425168,7494251,Single run,68.4357235296675
SRR1761675,9409493,10950788,85.9252594425168,7766135,Coassembly,70.9185037642953
SRR1761698,54711648,61124044,89.5092085203001,43613494,Single run,71.3524353853289
SRR1761698,54711648,61124044,89.5092085203001,44463678,Coassembly,72.7433512088958
SRR1761701,38002979,39717000,95.6844147342448,30913330,Single run,77.834000553919
SRR1761701,38002979,39717000,95.6844147342448,31203265,Coassembly,78.5640028199512
SRR1761702,49662201,55693222,89.1709964275366,40158899,Single run,72.1073365085611
SRR1761702,49662201,55693222,89.1709964275366,42105408,Coassembly,75.6023919750953
SRR1761705,46507606,52180522,89.1282881378611,37613351,Single run,72.0831251937265
SRR1761705,46507606,52180522,89.1282881378611,39559518,Coassembly,75.8128061654883
SRR1761706,54606540,57868212,94.3636205659854,42386998,Single run,73.2474644283117
SRR1761706,54606540,57868212,94.3636205659854,43278936,Coassembly,74.7887907786057
SRR1761708,43742123,48975336,89.3145950034932,35159896,Coassembly,71.7910255888801
SRR1761708,43742123,48975336,89.3145950034932,34172827,Single run,69.7755845922119
SRR1761710,44563352,50155950,88.849582153264,33764123,Single run,67.3182802837948
SRR1761710,44563352,50155950,88.849582153264,35253446,Coassembly,70.2876647735712
SRR1761718,43843462,50173554,87.3836085041933,34022672,Single run,67.8099701687467
SRR1761718,43843462,50173554,87.3836085041933,35541757,Coassembly,70.8376309160798
SRR1761719,40401224,47686638,84.7223157145195,30627902,Single run,64.2274299144343
SRR1761719,40401224,47686638,84.7223157145195,32648406,Coassembly,68.4644742621612
SRR1761720,44194921,49494428,89.2927199805198,36573627,Coassembly,73.8944331268966
SRR1761720,44194921,49494428,89.2927199805198,36062604,Single run,72.8619472074715
SRR1927149,20908202,25623802,81.5967981644566,16812371,Single run,65.6123201389084
SRR1927149,20908202,25623802,81.5967981644566,17210770,Coassembly,67.1671206326056
SRR1929484,8990617,13215852,68.029038158115,7060000,Single run,53.4206950864765
SRR1929484,8990617,13215852,68.029038158115,7370212,Coassembly,55.7679671352252
SRR1929485,4545756,7618774,59.665190226144,4301645,Single run,56.4611182849104
SRR1929485,4545756,7618774,59.665190226144,4461626,Coassembly,58.5609443199129
SRR1929563,19600932,23851556,82.1788398207647,14150505,Single run,59.3273872782136
SRR1929563,19600932,23851556,82.1788398207647,14577840,Coassembly,61.1190313956876
SRR1929574,13615572,17913064,76.0091740865773,10484610,Single run,58.53052275144
SRR1929574,13615572,17913064,76.0091740865773,10882162,Coassembly,60.7498638982142
SRR1930122,22707624,26547554,85.5356542452084,16448045,Single run,61.9569132433067
SRR1930122,22707624,26547554,85.5356542452084,16824518,Coassembly,63.3750212919804
SRR1930128,23557170,26943650,87.4312500347948,17233703,Single run,63.9620207358691
SRR1930128,23557170,26943650,87.4312500347948,17752679,Coassembly,65.8881740224506
SRR1930132,5935112,7611618,77.9743807427015,5323238,Single run,69.9356956694359
SRR1930132,5935112,7611618,77.9743807427015,5422555,Coassembly,71.2405036616394
SRR1930133,6804764,9344274,72.8228217622899,5742099,Coassembly,61.4504561831128
SRR1930133,6804764,9344274,72.8228217622899,5620822,Single run,60.1525811422054
SRR1930134,14373047,19335918,74.3334089439146,11565982,Single run,59.8160480407499
SRR1930134,14373047,19335918,74.3334089439146,12120804,Coassembly,62.685433399128
SRR1930138,5011961,8169154,61.3522648734496,4350919,Single run,53.2603376065624
SRR1930138,5011961,8169154,61.3522648734496,4551857,Coassembly,55.7200537534242
SRR1930140,12514063,14675136,85.2739150083515,10734552,Single run,73.1478876924889
SRR1930140,12514063,14675136,85.2739150083515,10846233,Coassembly,73.9089096005652
SRR1930142,6971764,9911100,70.3429891737547,5398530,Coassembly,54.4695341586706
SRR1930142,6971764,9911100,70.3429891737547,5160983,Single run,52.0727568080233
SRR1930143,7043728,10605216,66.4175816881052,5521564,Single run,52.0646066991941
SRR1930143,7043728,10605216,66.4175816881052,5790455,Coassembly,54.6000666087329
SRR1930144,5680135,8314040,68.3197939870388,4964619,Single run,59.713677105234
SRR1930144,5680135,8314040,68.3197939870388,5144960,Coassembly,61.8827910378107
SRR1930149,4618869,6895160,66.9871185005134,3811195,Single run,55.2734816886048
SRR1930149,4618869,6895160,66.9871185005134,3985573,Coassembly,57.8024730390593
SRR1930176,2815045,5709594,49.3037683590112,3329383,Single run,58.3120796329827
SRR1930176,2815045,5709594,49.3037683590112,3418067,Coassembly,59.8653249250297
SRR1930177,7481179,9131956,81.9230732167347,6570411,Single run,71.9496567876586
SRR1930177,7481179,9131956,81.9230732167347,6631085,Coassembly,72.6140708518525
SRR1930179,4659006,5913164,78.7904073014041,4271956,Single run,72.2448421860107
SRR1930179,4659006,5913164,78.7904073014041,4291226,Coassembly,72.5707252496295
SRR1930187,2977213,4786114,62.20522536655,3254665,Single run,68.0022456631831
SRR1930187,2977213,4786114,62.20522536655,3311227,Coassembly,69.1840394942536
SRR1930244,9801843,13080514,74.9346929333205,7755782,Single run,59.2926394176865
SRR1930244,9801843,13080514,74.9346929333205,8077258,Coassembly,61.7503104235812
